"x"	Positive	Negative
"@Delta I called and talked w you, you agreed to refund the  400 in few days.  Then you emailed that it would take 6 wks. Unacceptable."	1	-1
"@Delta Have any recommendation for a app that tells you what you are flying over? Cant tell when i am on the plane. Would like to know tho!"	1	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@Delta and i'm here in JFK waiting for the next airplane (just 24h later) without a hotel, without food. Slept on the ground at the Airport!"	1	-1
"@Delta I lost my work phone on my flight please help!"	2	-1
"Awesome @delta thanks! https://t.co/k79GapRwye"	3	-1
"So I just gave a \"Job Well Done\" cert to a weekend @Delta phone rep because #Delta #Medallion reps just ROCK &amp; take  https://t.co/TcGgMMlVQx"	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"RT @DougStanhope: @ThisIsReno @Delta Too late but thanks for trying. But at least @Delta made her cry on her long drive back home."	2	-4
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"@RealJeffJarrett @Delta @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling looking forward to it. :)"	1	-1
"Gotta shout out @Delta flight 41 rerouted to Hawaii and rebooked tonight. Comp hotel rooms and island tours - very well handled! Thank you"	2	-1
"RT @RealJeffJarrett: Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https:/ "	1	-2
"Boarding flight one on @Delta ...Headed to Manchester  ed  U 00A0  U 00BC  ed  U 00B7  U 00AC  ed  U 00A0  U 00BC  ed  U 00B7  U 00A7  UK... @WOSWrestlingITV @IMPACTWRESTLING @GFWWrestling https://t.co/kbzIwYkGBE"	1	-1
"@laurenfleskes @Delta is the worst  U 2639  U FE0F  sorry to hear that! Hope y'all make it there okay"	3	-3
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@delta I'm being told told seats will be available on flight that won't let me choose.im in chemo. That answer does not work, i need to stre"	1	-1
"@Delta Ticket number 0062178475878 was a done deal all in one call (including upgrade). Somehow it changed to 0062144400621 on your end."	1	-1
"Thanks @Delta! Great customer service.  U 2708  U FE0F  U 2708  U FE0F "	3	-1
"@DELTA"	1	-1
"#ship6301 @dlflightmuseum @Delta https://t.co/n3Ge1XuOoA"	1	-1
"@Delta hi my flight was delayed an hour which is fine cause of weather but someone needs to fix the air. My ... https://t.co/qGB9hHhNJH"	3	-1
"@Delta I finished chemo and was not given option to pick seat.i need an aisle or window to stretch my legs but am I'm told is a seat will be"	1	-1
"RT @JAAmericas: Thanks, @Delta  for highlighting our partnership in the amazing Delta @InsideSKY  Magazine, reaching all Delta s passengers "	3	-1
"@dlflightmuseum @delta https://t.co/y4iejvfAKL"	1	-1
"@Delta thanks"	2	-1
"Being on an American Airlines plane but seeing a @Delta  plane taxiing is like watching the girl of your dreams speed past you in a Ferrari"	2	-2
"@dlflightmuseum @delta https://t.co/jX3K1uduPm"	1	-1
"@Delta DL 3497 departure gate now A33, no way to make it now."	1	-1
"@Delta is there a way to tell if a flight has wifi or outlet to plug into?"	1	-1
"@Delta I'm booked but on one of the flights it says no seats available.i just finished chemo and all I'm told I will have seat."	1	-1
"@Delta wah wah, Signed two lowly Silver Medallion fliers. We just got married and flew Delta to elope- how about a wedding present?  U 2708  U FE0F "	1	-2
"@Delta a lovely gate agent named Pricilla got us on an earlier flight so we are much less annoyed by our missed connection. Thx, Pricilla!"	2	-3
"@Delta I am that customer and no, I did not make my flight."	1	-1
"Update: @Delta has put another person to work a stand. Unfortunately it isn't #brad or #bradswife. #takehimback #BradsWifeMatters"	1	-2
"@Delta airmiles should be awarded based on butt-in-seat minutes not distance flown. You owe me for this delay."	1	-2
"And is there an easy way to find my skymiles number? @Delta"	1	-1
"But @AmericanExpress Centurion lounge wins over @Delta Skyclub because they have free champagne!  ed  U 00A0  U 00BE  ed  U 00B5  U 0082  #bringcenturiontolax"	1	-1
"I love @Delta &amp; @AmericanExpress lounges. People here remind me it's ok to drink wine before a morning flight. 1/2"	3	-1
"@Delta Merci. I will reach out to you then."	1	-1
"I hate @delta"	1	-4
"@Delta Thanks, but I doubt it!  We landed as far away from the terminal as possible, and holding for some reason."	2	-2
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@Delta has 5 stands open at the #HNL airport and the wait is well over an hour and a half. They need to hire #bradswife #justiceforbradswife"	1	-1
"@Delta 1375"	1	-1
"RT @JClark5on: Visit https://t.co/ODbVj8eVtR for your chance to join me, @Delta &amp; @Chris_Stamp and style my own fashion look https://t.co/L "	1	-1
"@Delta I did said I couldn't enter until check in.  Odd AF wants it now.  I entered it through AIr France.  Strange with Security high"	2	-1
"@DougStanhope @Delta @DeltaAssist Happy Birthday Doug! Shame on you, Delta!"	2	-3
"@Delta Cannot view boarding pass, says \"experiencing technical difficulties\""	1	-2
"@Delta Emily Allen is not just another pretty face. Excellent First Officer. TPA&gt;JFK"	4	-3
"@flyLAXairport doing what LAX does. A lovely day to be flying @Delta https://t.co/73yJnA7dZ6"	2	-1
"@Delta Also, how often would I get to this screen and find that you've lowered the fare? I'm guessing never."	1	-1
"Thanks @delta for getting me to and from Banff, it s been a great trip. #EdgyIdeas #YoungGarvan #StateCustodians @GarvanInstitute"	3	-1
"RT @AirlineGeeks: Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"@ThisIsReno @Delta Too late but thanks for trying. But at least @Delta made her cry on her long drive back home."	2	-4
"@Delta will there be food for sale on flight 1772 from PHX to ATL today?"	1	-1
"@Delta  I take that back. No gate"	1	-1
"@DougStanhope @Delta @DeltaAssist Delta, tread at your own peril here. The shitstorm that is likely to rain down on you will not be kind."	1	-2
"Question: @Delta How far does the flight from HNL land from the flight to JFK when I get to LAX?? I'm freaking out."	1	-2
"@DELTA I cannot do my check in because a receipt is required.  What can I do?"	1	-1
"@Delta On the plus side, you lost my business for this trip and will continue to do so if I run into it again."	1	-1
"RT @AirbusInTheUS: Couldn t ask for a better touchdown to start the day. @Delta @JFKAirport #A319 #AvGeek https://t.co/jwjiEJFBQm"	1	-1
"Flying @Delta.  Never again  ed  U 00A0  U 00BD  ed  U 00B8  U 0096  https://t.co/OMX5ImFpAa"	1	-1
"@Delta JB, it's suspect  fares would change in the 20 minutes it takes to book. Not the first time either. Feels like a bait 'n switch."	2	-2
"When your delays are longer than your flight, you know it's @Delta."	1	-1
"@DELTA Al tratar de realizar el check in me dice al final que no se puede porque un recibo es requerido. Qu  puedo hacer"	1	-1
"Damn! How amazing would it have been to work for @Delta ?! I'm so bummed. I love this airline. They've never let me  https://t.co/HCSgz7NivR"	3	-2
"@Delta we were told 11:30p here at the airport"	1	-1
"@delta William at your sky priority check-in desk at RSW was absolutely fantastic. A model of cust svc - very appreciative of customers"	4	-1
"Missed important commitment due to @Delta equipment problems, overbooking, misleading status updates. Paging Richard Anderson . . ."	1	-2
"@LPearmanPhotos It would have been OK if I could check in and access a lounge - booked through @Delta but @VirginAmerica runs this flight  ed  U 00A0  U 00BD  ed  U 00B9  U 0081  ed  U 00A0  U 00BD  ed  U 00B9  U 0081 "	1	-1
"@TheSarahMoore @Delta I'd love that enjoy"	3	-1
"Emergency medical issue on the plane means I'm spending the day in Hawaii!  ed  U 00A0  U 00BC  ed  U 00BC  U 00B4  Could be worse... @Delta have done their best!"	2	-3
"@Delta Sal at JFK is the Man! Thanks!"	2	-1
"@Delta I put in the online lost item form so hopefully that works. Lost coat with car keys at f10 msp on 24th at 1010a. Thx"	1	-1
"@Delta the plane should be landing in the next few minutes, keeping our fingers crossed  ed  U 00A0  U 00BD  ed  U 00B8  U 0096 "	1	-1
". @Delta ... was told it would cost &gt; 200!!!"	2	-1
".@Delta I asked if it would be possible to get an upgrade so I could sleep in the flight ( I'm returning home to my 6 kids!) but ..."	1	-1
".@Delta - really surprised as I had such good service on the way over ( &amp; told everyone about that too!)  ed  U 00A0  U 00BD  ed  U 00B9  U 0081 "	2	-1
"Learning about Tech Ops! Thanks @Delta &amp; @ATLSciFest. https://t.co/dr9mqlvOjz"	2	-1
".@Delta ... facilities? I've had to wait here for 8 hrs before checking in - have been sharing updates on FB, Snapchat, Messenger Day &amp; IG  ed  U 00A0  U 00BD  ed  U 00B9  U 0081 "	1	-1
".@Delta ... but surely if I book a through flight with you, I should be checked all the way through, or at least be able to access ..."	1	-1
".@Delta ... could not check in until just now because the flight is operated by Virgin, so couldn't sleep as I couldn't get to any lounge..."	1	-1
"RT @Lakers: Your chance to join @JClark5on, @Delta and @Chris_Stamp to collaborate on the ultimate fashion look: https://t.co/4O1AptE2rL No "	1	-1
"From my father-in-law. #PanAm @AmericanAir @united @Delta @thepointsguy @DeparturesMag #TWA #Travel #Fly #OldSchool #FrequentFlyerMiles"	1	-1
".@Delta I got in at soon after 5 am here -only got 2 hrs sleep on the flight -intended to book into a lounge to get some rest, but could ..."	1	-1
"@Delta best crew to Cabo. Most loving and passionate crew! DL321 #flywithdelta"	4	-1
"@BiblioSzabo @laplcentral @Delta @LAPublicLibrary That's pretty cool  ed  U 00A0  U 00BD  ed  U 00B8  U 008E  #DTLA definitely everywhere."	3	-1
".@Delta ... to fly San Diego back to Manchester - got the flight to Atlanta at 22.20 last night but couldn't check in for Atlanta -UK then."	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"Hey @Delta I had a great flight over to the US from the UK- thank you -but the return journey has been really stressful! I booked through..."	3	-3
"RT @Kind_Traveler: Help #LA's #homeless receive healthcare w/ @VeniceFamClinic by bidding on an #SF @kphotel_sf vacay (  @Delta U 2708  U FE0F !) https:/ "	1	-2
"@AmericanAir your airport check-in sucks.  Don't print a paper boarding pass when I've already checked in via mobile.  I prefer @Delta"	1	-2
"Shoutout to @Delta for losing both my mom and I's lugguage after 12 hours of travel and not doing anything about it!!!!!!! #horribleservice"	2	-3
"@AmericanAir your airport kiosks suck.  What's the point of mobile check-in if you ask the same questions again at kiosk?  I prefer @Delta"	1	-2
"@Delta check DM"	1	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"Go go @Delta power rangers, get me home! Off to Boston!!"	2	-1
"It's a window open kind of day (or everyday) @Delta #Delta #md88 #flying #windowopen https://t.co/puDFzCuRP5"	2	-1
"@DELTA plane full of ppl Boeing 777 div to HON w/ 2 hours notice. waiting  hour to get booked to hotel. Airport mgr needs to jump on this"	1	-1
"@AmericanAir your airport check-in sucks.  You rarely have separate bag drop lines so it's always slower.  I prefer @Delta"	1	-2
"RT @ThisIsReno: .@DougStanhope @Delta can somebody at @RenoAirport help get Bingo to Reno today from Tucson. This is important."	1	-1
"NEVER FLYING @Delta EVER AGAIN!!!!"	2	-1
"Very disappointed in @Delta Missed connection to Cabo bc battery in 'unique' plane died. No Replacement?Can't go 2day 1 vacay day ruined."	1	-3
"RT @BiblioSzabo: @laplcentral is everywhere! Thanks @Delta! #DTLA @LAPublicLibrary https://t.co/oOuJX83eAo"	2	-1
"@Delta I give you props for 30 straight early flights. That's impressive   @AmericanAir can't seem to do it even when they compromise"	2	-1
".@Delta baggage crew delivered my checked bag wide open to baggage claim at @Bradley_Airport. Seriously?"	1	-1
"@DougStanhope @Delta \"Delta\" is Greek for \"you're fucked\"..."	1	-3
"@Delta boo. I want one for my bag."	1	-1
"@AmericanAir your airport check-in sucks.  Why can't I pay for my bag when I do mobile check-in?  I prefer @Delta"	1	-2
"RT @CassSeidenfeld: @jacobteixeira @xackeryirving @andrew_pitkin @TYRIQMUSTAQIYM @davidfabros @INSegal @COLEMANCOOKING @BarryGordin @Delta "	1	-1
"@Delta it's been far more than 30 business days. You need to stop telling me to \"sit tight\" and \"hope\" you guys process things..."	1	-1
"@Delta yes, further help is needed.  Still at airport and your employees have no idea what's going on.  Dept. time keeps changing."	1	-1
"@Delta My flight confirmation number is HJ3DY3"	1	-1
"@Delta - today on Delta 722 from AUA to JFK the CAPTAIN came into Firat class and thanked us all personally. Old school class. #nice"	1	-1
"@Delta your flight crew on DL1450 from LAS-&gt;MSP last night was fantastic. It made up for getting bumped to the flight from an earlier one."	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@DougStanhope @Delta @DeltaAssist happy birthday Doug. Sorry Bingo got stranded. #justice."	2	-2
"@DougStanhope @Delta  we wnna see Bingo dammit!"	1	-1
"Thank you @Delta for not alerting me about my seat's beautiful view! What a welcome surprise!! Plastic    U 2764  U FE0F  U 2764  U FE0F  U 2764  U FE0F  https://t.co/xOVq03Wnpi"	3	-1
"RT @ThisIsReno: .@DougStanhope @Delta can somebody at @RenoAirport help get Bingo to Reno today from Tucson. This is important."	1	-1
"@Delta do you think i should co-lead haze?  ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0082 lmfao"	1	-1
"RT @MAKERSwomen: Aviation history was just made as these two black female pilots took off: https://t.co/qrJvVofXy6 @Delta #WomensHistoryMon "	1	-1
"@Delta ok. Thx. Hard to believe it couldn't be retrieved. So goes it. Maybe it will show up."	1	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta escalated my 2 days flight delay case and never heard from them anymore for more than 2 months!!"	2	-2
"@JClark5on @Delta @Chris_Stamp Hey JC, good job tonight. Your are my superstar. I hope you could hold this state."	3	-1
"Let @Delta help you discover what you can learn abroad. Enter to win travel, here: https://t.co/xOM9YMQy3K NoPurNec  https://t.co/glEtNfHtGa"	1	-1
"I typically have no issues with @Delta but I m in Hawaii (should be in Australia)"	1	-1
"@the747airloom project @delta #OurFutureOurFight https://t.co/RPT4V6W4zM"	1	-1
"RT @saradietschy: @TMobile hey you guys rock for having free messaging   Wi-Fi for an hour on @delta flights   clutch  ed  U 00A0  U 00BD  ed  U 00B2  U 00AA  ed  U 00A0  U 00BC  ed  U 00BF  U 00BB "	2	-1
"RT @DougStanhope: .@Delta You have no idea how much I hate you right now. We used to be close, you and me."	1	-4
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"@Delta bumped us off our flight (that had layover in ATL) and put us in a direct flight. On this rare occasion   Thanks Delta! @TeachWhitney"	2	-1
"@TyBuckingham @Delta  You may have just gotten somebody fired...."	1	-3
"@Delta thanks. How do I utilize this as credit for a new booking to another destination"	2	-1
"We lost an iPad on flight 362 mbj-atl. now showing on board from 1331 alt-dtw @delta"	1	-1
"@Delta nah... just pass along the good word to the powers that be to stock your buy on board.  ed  U 00A0  U 00BD  ed  U 00B1  U 008D "	2	-1
