"x"	Positive	Negative
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/HX2FEGFf4h via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/0mfqCIHFgo via @PETA"	1	-1
"@Brodie_Aikman that's the pilot at @westjet look"	1	-1
"@WestJet why don't you sell Canadian wine on your flights? You're aCanadian company?"	1	-1
"@WestJet Westjet Vacations you are deceptively (illegally?) listing prices lower on the hotels page, only to reveal real price after select"	1	-2
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/2PO7j7yatX via @PETA"	1	-1
"@WestJet the security personnel were horrible: took my duty free items away cause I had to go through after customs  ed  U 00A0  U 00BD  ed  U 00B8  U 00A5 "	2	-4
"Looks like my @WestJet dollars are taking us out east again this summer! Can't wait to head to beautiful #PrinceEdwardIsland  ed  U 00A0  U 00BD  ed  U 00B2  U 0099 "	3	-1
"@WestJet our fate assigned was all the way across the airport... we almost missed our flight."	1	-2
"@WestJet Oh no no, it wasn't you guys! We ended up ditching Sunwing and booking a flight with WestJet. Hoping we can make flight time!"	2	-1
"@WestJet woohoo! Thanks"	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/EMExLFxZ9P via @PETA"	1	-1
"You look so good on Friday! @WestJet https://t.co/2CRaVJdXP8"	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Lqep7kufMs via @PETA"	1	-1
"@WestJet @SunwingVacay How can you promote @SeaWorld when they torture animals. Don't support animal abusers to make money. Utter disgust."	1	-4
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cFaJkRXo0l via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/O78AJQrqPS via @PETA"	1	-1
"@WestJet Send help, please. It appears we're all being held against our will apparently... we just need to make the 1:45am flight!"	2	-2
"@WestJet We just booked with you leaving Cancun at 1:45am. Please don't leave without us, we are waiting to immigration to open"	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/ApfRtTnkcV via @PETA"	1	-1
"@WestJet WS3507"	1	-1
"@the_beans @WestJet @AirCanada The punchline to this joke of a poor response is that I used my Westjet MC to buy the Air Canada tickets..."	2	-2
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/w0xG6B7ZvX via @PETA"	1	-1
"@WestJet #WestJet still no flight crew.  Your board now says 11:45 for a 10:15 flight.  Sure it will change again.  No respect to customers"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/0cOOaxGy4p via @PETA"	1	-1
"@vancitylibyan @AirCanada @WestJet what happened??"	1	-1
".@WestJet customer service &gt;&gt;&gt; @AirCanada"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Qv2NnivBRh #SeaworldSucks"	1	-1
"Soooo I can't wait to see my @WestJet commercial! #stoked #BlueJays #Toronto"	2	-1
"@WestJet is that still the case?"	1	-1
"@WestJet I want to book a trip to vegas, but I'm really tall and need leg room. Previously we booked seats over the phone free of charge."	1	-2
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/Eu5RcLKzeo via @PETA"	1	-1
"@WestJet is there an additional fee for booking exit room seating?"	1	-2
"RT @alxxgomez: @WestJet @TorontoPearson What a mess! Worst experience making a Cancun - Winnipeg connection! #Horrible"	1	-3
"@WestJet @TorontoPearson What a mess! Worst experience making a Cancun - Winnipeg connection! #Horrible"	1	-3
"@WestJet 10:18 no crew 10:15 flight to London showing on time.  No respect for customers they can wait. https://t.co/y2OZWHV4If"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/UNWqQT7XOo via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cjGc6V4Tt3 via @PETA"	1	-1
"@WestJet does my flight have wifi/plugs tomorrow? Reso AXUMKO"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/9QmFcoM1CM via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/5nVUsLNG9v via @PETA"	1	-1
"@WestJet how do i check in online if i booked my flight through a third party?"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/qd2NyNuRjB via @PETA	1	-1
Why is SeaWorld still around?"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/ujLwIQOyls via @PETA"	1	-1
"@WestJet looking fo ward to the warmth of the canyon and the hiking up and down!"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/F7bGA3Opgh via @PETA"	1	-1
"RT @BlueJays: Why is @A_Sanch41 holding this adorable puppy?  ed  U 00A0  U 00BD  ed  U 00B0  U 00B6  ed  U 00A0  U 00BE  ed  U 00B4  U 0094  ed  U 00A0  U 00BD  ed  U 00B8  U 008D 	4	-1
Find out soon in @WestJet's new commercials! https://t.co/G83IQLJL1P"	1	-1
"RT @WestJet:  When I travel myself, I love to see a destination through the eyes of a local.    Shane O Donoghue  U 2708  U FE0F  #WestJet https://t.co/c "	3	-1
"@TomPodolec @TorontoPearson @AirCanada @AirCanadaRouge @airtransat @FedExCanada @KLM @AerLingus @lufthansa @Icelandair @WestJet Great pics!"	3	-1
"Never flying @AirCanada again. They screw up &amp; send not one but two other ppl to utter vague threats. Video coming soon. Flying @WestJet now"	1	-3
"@WestJet thanks again!  The raffle funds of this will go to a great cause!!"	3	-1
"Thank u @WestJet 4 the donation to @TopChefCanada fundraiser of 1 roundtrip flight for 2 on any regularly scheduled WestJet destination!"	2	-1
"RT @skepilepsy: Thank you to @WestJet for being the grand prize for tomorrow's #PurpleDay for Epilepsy event @wdmtweets in #YXE with @Cassi "	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/I3X4nbyMuu via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/ODuchaQ7xh via @PETA"	1	-1
"Please SIGN: Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/hX26weooxu via @PETA"	2	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/UHkPpJ1Laa via @PETA Animals driven insane for entertainment..."	1	-2
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/yPs8kH5kx0 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/4ownKY7sFC via @PETA"	1	-1
"Thank you @WestJet for putting me on the earlier flight to #Toronto - excited to see fam and friends - it's been to  https://t.co/PGdX9YZ9z8"	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/mhYC2OMlCV via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/rnUMN1bX4N via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/2G1ZFr8gDk via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/8ZlgRlYRp7 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/079RkNbQpR via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/u7Vwc77Qn9 via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/07a3JgzuJn via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/PAYz7OEenc via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/cmGibkhoa4 via @PETA"	1	-1
"#FlightDeck of @WestJet 737-800 #beauty #sunnyday at @TorontoPearson  ed  U 00A0  U 00BD  ed  U 00B8  U 008E  https://t.co/ujR1N95s4L"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/KR08oQE7dY via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/txfvnikGzO via @PETA"	1	-1
"Had a great experience with @newleaftravel today (and paid half of what a @WestJet flight would be)  ed  U 00A0  U 00BD  ed  U 00B1  U 008D  ed  U 00A0  U 00BC  ed  U 00BF  U 00BB  ed  U 00A0  U 00BD  ed  U 00B1  U 008D  ed  U 00A0  U 00BC  ed  U 00BF  U 00BB  ed  U 00A0  U 00BD  ed  U 00B1  U 008D  ed  U 00A0  U 00BC  ed  U 00BF  U 00BB "	3	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/mCKrfqmiDp via @PETA"	1	-1
"Urge @WestJet to Stop Selling SeaWorld Tickets! https://t.co/p50Jepf6CE via @PETA"	1	-1
"RT @simonsinek: Just left a taping with @westjet. Amazing company. A culture devoted to working together to help people solve problems. #in "	3	-2
"@d_duhwit @WestJet planning to squeeze in some bagpipe practice during the flight..."	1	-1
"@WestJet AWESOME thanks!! ed  U 00A0  U 00BD  ed  U 00B2  U 0099  U 2708  U FE0F "	3	-1
"RT @dowchar: .@WestJet why can't 2 separate boarding passes  be mailed to the same e-mail address? My wife and I share an e-mail address."	1	-1
"RT @1auran: Thank you to @WestJet for FINALLY upgrading the #TravelAgent website. Looks super nice and easy to use! Makes my Life so much e "	3	-1
"We are on board on West Jet flight 368 to #Ottawa. First officer is not here, we all are waiting for last 25 mins. Poor service @westjet"	1	-2
"@WestJet Thank you!"	2	-1
"@WestJet WS 2310"	1	-1
"Kudos , @WestJet #WJ1229 flt crew esp. CC Ildi for working to keep families seated together. Thx also to Michelle for her dry wit :)"	1	-1
"#FollowFriday @WestJet @NewAgeMediaLDN top Influencers this week! Have a great weekend :)  U 27A1  U FE0F Want this  ed  U 00A0  U 00BC  ed  U 00B6  U 0093  U 2753 https://t.co/ApEP3GFXwh"	3	-1
"@WestJet yes I know, usually we love this airline and have nothing but nice things to say. But  700!??! And then to be told to go elsewhere?"	3	-1
"Thank you to @WestJet for being the grand prize for tomorrow's #PurpleDay for Epilepsy event @wdmtweets in #YXE wit  https://t.co/HCSeHrnVjP"	3	-1
"@WestJet what kind of customer service is that? For someone who flies faithfully with your company?"	2	-1
"@WestJet when he said he couldn't afford it one of your employees told him that he should look into flying with another airline"	1	-1
"@WestJet life happened my husband had to be dropped at airport 15hrs before flight. Was told to change his flight was  700"	1	-1
"@WestJet no delays. Just getting treated terribly by your employees. Guess you only care about bringing families together if there's cameras"	2	-4
"@WestJet Thanks westjet for all of your help!!"	2	-1
"@WestJet --Thanks!!"	3	-1
"Hi @WestJet will there be wifi on my flight tomorrow morning to cancun?  U 2708  U FE0F  @WestJet"	1	-1
"Very thankful for all of the helpful @WestJet staff at YBR today  ed  U 00A0  U 00BD  ed  U 00B8  U 008B  5 star service for sure"	3	-1
"@the_beans @WestJet @AirCanada unreal"	1	-1
"@WestJet   Still waiting for resolution! What is the ombudsman name whom is looking into this problem?"	1	-2
"RT @bodybarhair: @WestJet  already sent to wj! being investigated. Hmmm and still no more communication. Disappointing. I will send u info "	2	-2
"@WestJet no just unclear on which countries are prohibiting them onboard currently..."	1	-2
"RT @the_beans: Well. If you need more reasons to travel with @WestJet just read this response from @AirCanada \"Customer Service\" https://t. "	1	-1
"@WestJet you need to thank your people @stjohnsairport if it weren't for Andrew at the gate, I would never fly @WestJet again!"	2	-1
".@WestJet -- Would it best to leave iPads at home for our trip to BGI just in case? Thoughts? @catsa_gc ?"	2	-1
"@WestJet flight 247 from yyt  cancelled. Feel bad for people working. Some people are rude. Not their fault there was a mechanical issue."	2	-3
"Well. If you need more reasons to travel with @WestJet just read this response from @AirCanada \"Customer Service\" https://t.co/zocIMKG8Tn"	1	-1
"RT @DonSangster: Unacceptable that @WestJet still won't accept legal Big 5 trophies from Africa (incl. Cape buffalo) not even as cargo.They "	1	-1
"RT @DonSangster: Unacceptable that @WestJet still won't accept legal Big 5 trophies from Africa (incl. Cape buffalo) not even as cargo.They "	1	-1
"Unacceptable that @WestJet still won't accept legal Big 5 trophies from Africa (incl. Cape buffalo) not even as cargo.They must hear from u."	1	-1
"RT @WestJet: Who loves a good #WingletWednesday photo? We do!	3	-1
Photo via visual_dmonroy13 on Instagram  U 2708  U FE0F  #WestJet https://t.co/YgbZGapi6B"	1	-1
"@WestJet so customer service for elderly or shorter passengers is now a safety issue?  ed  U 00A0  U 00BE  ed  U 00B4  U 0094 then stop charging for check  https://t.co/IacvsgE2Ht"	2	-1
"@BlitzkreigYK @WestJet are you still in yow?"	1	-1
"@KeohanePeter flight on @WestJet from St John's to Dublin! Sadly they only fly May to October or I'd be on a flight now lol."	2	-2
"@WestJet plane is now here! Ready for our trip to Comox! @Sassypants67 https://t.co/CftDquiddu"	1	-1
"PT 2 @WestJet however was told no they didn't lift things. My MIL is 4'4 so clearly needed help can you please explain this? @yakimchukD"	2	-1
"PT 1 @WestJet yesterday on her flight from #yqu to #yeg my senior MIL asked for assistance from attendant to store overhead @yakimchukD"	1	-1
